media_id,category_id,imdb_score
1,movie,2.5
2,movie,2.6
3,movie,2.6
4,movie,3.2
5,movie,3.4
6,movie,3.5
7,movie,3.7
8,movie,3.7
9,movie,3.9
10,movie,4.1
11,movie,4.1
12,movie,4.1
13,movie,4.1
14,movie,4.2
15,movie,4.2
16,movie,4.3
17,movie,4.3
18,movie,4.3
19,movie,4.3
20,movie,4.4
21,movie,4.4
22,movie,4.4
23,movie,4.4
24,movie,4.4
25,movie,4.4
26,movie,4.5
27,movie,4.5
28,movie,4.5
29,movie,4.5
30,movie,4.6
31,movie,4.6
32,movie,4.6
33,movie,4.6
34,movie,4.6
35,movie,4.6
36,movie,4.6
37,movie,4.6
38,movie,4.7
39,movie,4.7
40,movie,4.7
41,movie,4.7
42,movie,4.7
43,movie,4.7
44,movie,4.8
45,movie,4.8
46,movie,4.8
47,movie,4.8
48,movie,4.8
49,movie,4.8
50,movie,4.8
51,movie,4.9
52,movie,4.9
53,movie,4.9
54,movie,4.9
55,movie,5.0
56,movie,5.0
57,movie,5.0
58,movie,5.0
59,movie,5.0
60,movie,5.1
61,movie,5.1
62,movie,5.1
63,movie,5.1
64,movie,5.1
65,movie,5.1
66,movie,5.2
67,movie,5.2
68,movie,5.2
69,movie,5.2
70,movie,5.2
71,movie,5.2
72,movie,5.2
73,movie,5.2
74,movie,5.2
75,movie,5.2
76,movie,5.2
77,movie,5.2
78,movie,5.2
79,movie,5.2
80,movie,5.2
81,movie,5.2
82,movie,5.2
83,movie,5.2
84,movie,5.2
85,movie,5.3
86,movie,5.3
87,movie,5.3
88,movie,5.3
89,movie,5.3
90,movie,5.3
91,movie,5.3
92,movie,5.3
93,movie,5.3
94,movie,5.3
95,movie,5.4
96,movie,5.4
97,movie,5.4
98,movie,5.4
99,movie,5.4
100,movie,5.4
101,movie,5.4
102,movie,5.4
103,movie,5.4
104,movie,5.4
105,movie,5.4
106,movie,5.4
107,movie,5.4
108,movie,5.5
109,movie,5.5
110,movie,5.5
111,movie,5.5
112,movie,5.5
