quarter_id,year,quarter
Q4 - 2002,2002,4
Q1 - 2003,2003,1
Q2 - 2003,2003,2
Q3 - 2003,2003,3
Q4 - 2003,2003,4
Q1 - 2004,2004,1
Q2 - 2004,2004,2
Q3 - 2004,2004,3
Q4 - 2004,2004,4
Q1 - 2005,2005,1
Q2 - 2005,2005,2
Q3 - 2005,2005,3
Q4 - 2005,2005,4
Q1 - 2006,2006,1
Q2 - 2006,2006,2
Q3 - 2006,2006,3
Q4 - 2006,2006,4
Q1 - 2007,2007,1
Q2 - 2007,2007,2
Q3 - 2007,2007,3
Q4 - 2007,2007,4
Q1 - 2008,2008,1
Q2 - 2008,2008,2
Q3 - 2008,2008,3
Q4 - 2008,2008,4
Q1 - 2009,2009,1
Q2 - 2009,2009,2
Q3 - 2009,2009,3
Q4 - 2009,2009,4
Q1 - 2010,2010,1
Q2 - 2010,2010,2
Q3 - 2010,2010,3
Q4 - 2010,2010,4
Q1 - 2011,2011,1
Q2 - 2011,2011,2
Q3 - 2011,2011,3
Q4 - 2011,2011,4
Q1 - 2012,2012,1
Q2 - 2012,2012,2
Q3 - 2012,2012,3
Q4 - 2012,2012,4
Q1 - 2013,2013,1
Q2 - 2013,2013,2
Q3 - 2013,2013,3
Q4 - 2013,2013,4
Q1 - 2014,2014,1
Q2 - 2014,2014,2
Q3 - 2014,2014,3
Q4 - 2014,2014,4
Q1 - 2015,2015,1
Q2 - 2015,2015,2
Q3 - 2015,2015,3
Q4 - 2015,2015,4
Q1 - 2016,2016,1
Q2 - 2016,2016,2
Q3 - 2016,2016,3
Q4 - 2016,2016,4
Q1 - 2017,2017,1
Q2 - 2017,2017,2
Q3 - 2017,2017,3
Q4 - 2017,2017,4
Q1 - 2018,2018,1
Q2 - 2018,2018,2
Q3 - 2018,2018,3
Q4 - 2018,2018,4
Q1 - 2019,2019,1
Q2 - 2019,2019,2
Q3 - 2019,2019,3
Q4 - 2019,2019,4
Q1 - 2020,2020,1
Q2 - 2020,2020,2
Q3 - 2020,2020,3
Q4 - 2020,2020,4
Q1 - 2021,2021,1
Q2 - 2021,2021,2
Q3 - 2021,2021,3
Q4 - 2021,2021,4
