quarter_id,area_name,revenue,rev_quarterly_change,subscribers,sub_quarterly_change
Q1 - 2018,Asia-Pacific,199117000,0,7394000,0
Q2 - 2018,Asia-Pacific,221252000,22135000,8372000,978000
Q3 - 2018,Asia-Pacific,248691000,27439000,9461000,1089000
Q4 - 2018,Asia-Pacific,276756000,28065000,10607000,1146000
Q1 - 2019,Asia-Pacific,319602000,42846000,12141000,1534000
Q2 - 2019,Asia-Pacific,349494000,29892000,12942000,801000
Q3 - 2019,Asia-Pacific,382304000,32810000,14485000,1543000
Q4 - 2019,Asia-Pacific,418121000,35817000,16233000,1748000
Q1 - 2020,Asia-Pacific,483660000,65539000,19835000,3602000
Q2 - 2020,Asia-Pacific,569140000,85480000,22492000,2657000
