quarter_id,area_name,revenue,rev_quarterly_change,subscribers,sub_quarterly_change
Q1 - 2018,"Europe,  Middle East and Africa",886649000,0,29339000,0
Q2 - 2018,"Europe,  Middle East and Africa",975497000,88848000,31317000,1978000
Q3 - 2018,"Europe,  Middle East and Africa",1004749000,29252000,33836000,2519000
Q4 - 2018,"Europe,  Middle East and Africa",1096812000,92063000,37818000,3982000
Q1 - 2019,"Europe,  Middle East and Africa",1233379000,136567000,42542000,4724000
Q2 - 2019,"Europe,  Middle East and Africa",1319087000,85708000,44229000,1687000
Q3 - 2019,"Europe,  Middle East and Africa",1428040000,108953000,47355000,3126000
Q4 - 2019,"Europe,  Middle East and Africa",1562561000,134521000,51778000,4423000
Q1 - 2020,"Europe,  Middle East and Africa",1723474000,160913000,58734000,6956000
Q2 - 2020,"Europe,  Middle East and Africa",1892537000,169063000,61483000,2749000
