media_id,category_id,no_of_seasons
585,show,3
586,show,4
587,show,3
588,show,2
589,show,2
590,show,2
591,show,1
592,show,1
593,show,2
594,show,1
595,show,2
596,show,1
597,show,1
598,show,1
599,show,1
600,show,1
601,show,1
602,show,1
603,show,1
604,show,1
605,show,1
606,show,1
607,show,9
608,show,1
609,show,1
610,show,7
611,show,1
612,show,1
613,show,1
614,show,1
615,show,1
616,show,6
617,show,2
618,show,3
619,show,3
620,show,3
621,show,2
622,show,2
623,show,1
624,show,2
625,show,1
626,show,1
627,show,2
628,show,2
629,show,1
630,show,3
631,show,2
632,show,3
633,show,2
634,show,1
635,show,1
636,show,1
637,show,1
638,show,1
639,show,1
640,show,1
641,show,1
642,show,1
643,show,1
644,show,1
645,show,1
646,show,1
647,show,1
648,show,4
649,show,4
650,show,3
651,show,2
652,show,1
653,show,2
654,show,1
655,show,4
656,show,3
657,show,1
658,show,3
659,show,1
660,show,2
661,show,2
662,show,1
663,show,1
664,show,1
665,show,6
666,show,1
667,show,1
668,show,6
669,show,2
670,show,2
671,show,1
672,show,1
673,show,1
674,show,1
675,show,2
676,show,1
677,show,1
678,show,1
679,show,3
680,show,1
681,show,1
682,show,1
683,show,1
684,show,1
685,show,1
686,show,1
687,show,1
688,show,1
689,show,1
690,show,1
691,show,1
692,show,1
693,show,1
694,show,1
695,show,2
696,show,1
697,show,1
698,show,1
699,show,1
700,show,1
701,show,2
702,show,1
703,show,1
704,show,2
705,show,1
706,show,1
707,show,1
708,show,1
709,show,1
710,show,3
711,show,2
712,show,2
713,show,2
714,show,1
715,show,1
716,show,1
717,show,1
718,show,1
719,show,1
720,show,1
721,show,1
722,show,6
723,show,1
724,show,6
725,show,3
726,show,6
727,show,8
728,show,1
729,show,2
730,show,1
731,show,1
732,show,1
733,show,6
734,show,1
735,show,1
736,show,1
737,show,1
738,show,4
739,show,4
740,show,2
741,show,2
742,show,1
743,show,2
744,show,2
745,show,2
746,show,2
747,show,23
748,show,2
749,show,1
750,show,1
751,show,1
752,show,1
753,show,1
754,show,1
755,show,6
756,show,1
757,show,3
758,show,1
759,show,6
760,show,1
761,show,1
762,show,6
763,show,1
764,show,1
765,show,4
766,show,1
767,show,4
768,show,1
769,show,4
770,show,3
771,show,2
772,show,1
773,show,1
774,show,1
775,show,4
776,show,8
777,show,1
778,show,1
779,show,1
780,show,4
781,show,1
782,show,1
783,show,6
784,show,4
785,show,5
786,show,1
787,show,1
788,show,1
789,show,1
790,show,4
791,show,1
792,show,6
793,show,3
794,show,7
795,show,2
796,show,3
797,show,3
798,show,2
799,show,3
800,show,3
801,show,2
802,show,2
803,show,2
804,show,3
805,show,2
806,show,4
807,show,3
808,show,1
809,show,2
810,show,4
811,show,2
812,show,2
813,show,1
814,show,2
815,show,1
816,show,4
817,show,1
818,show,2
819,show,1
820,show,1
821,show,1
822,show,2
823,show,1
824,show,1
825,show,1
826,show,1
827,show,1
828,show,1
829,show,1
830,show,1
831,show,1
832,show,1
833,show,1
834,show,2
835,show,4
836,show,6
837,show,1
838,show,3
839,show,5
840,show,2
841,show,1
842,show,8
843,show,2
844,show,3
845,show,2
846,show,1
847,show,3
848,show,3
849,show,2
850,show,1
851,show,3
852,show,2
853,show,2
854,show,2
855,show,2
856,show,1
857,show,1
858,show,4
859,show,1
860,show,2
861,show,1
862,show,2
863,show,1
864,show,1
865,show,2
866,show,1
867,show,1
868,show,1
869,show,1
870,show,1
871,show,1
872,show,1
873,show,1
874,show,1
875,show,3
876,show,1
877,show,2
878,show,1
879,show,1
880,show,1
881,show,1
882,show,1
883,show,1
884,show,1
885,show,1
886,show,1
887,show,1
888,show,1
889,show,1
890,show,1
891,show,1
892,show,1
893,show,1
894,show,1
895,show,1
896,show,1
897,show,6
898,show,2
899,show,1
900,show,1
901,show,1
902,show,1
903,show,1
904,show,2
905,show,1
906,show,2
907,show,2
908,show,1
909,show,2
910,show,2
911,show,1
912,show,1
913,show,1
914,show,1
915,show,2
916,show,1
917,show,1
918,show,3
919,show,1
920,show,2
921,show,1
922,show,1
923,show,1
924,show,1
925,show,3
926,show,1
927,show,1
928,show,1
929,show,1
930,show,3
931,show,2
932,show,3
933,show,1
934,show,1
935,show,1
936,show,1
937,show,1
938,show,3
939,show,3
940,show,1
941,show,1
942,show,1
943,show,7
944,show,1
945,show,1
946,show,2
