media_id,quarter_id,category_id,title,premiere
1,Q3 - 2019,movie,Enter the Anime,2019-08-05
2,Q3 - 2020,movie,Dark Forces,2020-08-21
3,Q4 - 2019,movie,The App,2019-12-26
4,Q1 - 2018,movie,The Open House,2018-01-19
5,Q4 - 2020,movie,Kaali Khuhi,2020-10-30
6,Q4 - 2019,movie,Drive,2019-11-01
7,Q4 - 2020,movie,Leyla Everlasting,2020-12-04
8,Q2 - 2020,movie,The Last Days of American Crime,2020-06-05
9,Q1 - 2018,movie,Paradox,2018-03-23
10,Q2 - 2021,movie,Sardar Ka Grandson,2021-05-18
11,Q2 - 2021,movie,Searching for Sheela,2021-04-22
12,Q4 - 2020,movie,The Call,2020-11-27
13,Q3 - 2020,movie,Whipped,2020-09-18
14,Q4 - 2020,movie,All Because of You,2020-10-01
15,Q4 - 2016,movie,Mercy,2016-11-22
16,Q4 - 2019,movie,After the Raid,2019-12-19
17,Q1 - 2020,movie,Ghost Stories,2020-01-01
18,Q1 - 2020,movie,The Last Thing He Wanted,2020-02-21
19,Q1 - 2021,movie,What Happened to Mr. Cha?,2021-01-01
20,Q3 - 2017,movie,Death Note,2017-08-25
21,Q3 - 2019,movie,"Hello Privilege. It's Me, Chelsea",2019-09-13
22,Q3 - 2019,movie,Secret Obsession,2019-07-18
23,Q3 - 2019,movie,Sextuplets,2019-08-16
24,Q1 - 2021,movie,The Girl on the Train,2021-02-26
25,Q2 - 2021,movie,Thunder Force,2021-04-09
26,Q3 - 2020,movie,Fatal Affair,2020-07-16
27,Q2 - 2021,movie,Just Say Yes,2021-04-02
28,Q3 - 2020,movie,Seriously Single,2020-07-31
29,Q1 - 2021,movie,The Misadventures of Hedi and Cokeman,2021-02-10
30,Q4 - 2018,movie,5 Star Christmas,2018-12-07
31,Q2 - 2019,movie,After Maria,2019-05-24
32,Q4 - 2016,movie,I Am the Pretty Thing That Lives in the House,2016-10-28
33,Q1 - 2019,movie,Paris Is Us,2019-02-22
34,Q4 - 2019,movie,Porta dos Fundos: The First Temptation of Christ,2019-12-03
35,Q4 - 2019,movie,Rattlesnake,2019-10-25
36,Q3 - 2020,movie,The Players,2020-07-15
37,Q3 - 2020,movie,We Are One,2020-07-14
38,Q4 - 2020,movie,Finding Agnes,2020-11-30
39,Q1 - 2019,movie,IO,2019-01-18
40,Q1 - 2021,movie,Sentinelle,2021-03-05
41,Q2 - 2020,movie,Sol Levante,2020-04-02
42,Q4 - 2020,movie,The Binding,2020-10-02
43,Q4 - 2020,movie,We Can Be Heroes,2020-12-25
44,Q4 - 2020,movie,Christmas Crossfire,2020-12-04
45,Q1 - 2017,movie,Coin Heist,2017-01-06
46,Q2 - 2020,movie,Mrs. Serial Killer,2020-05-01
47,Q4 - 2020,movie,Nobody Sleeps in the Woods Tonight,2020-10-28
48,Q1 - 2017,movie,Take the 10,2017-01-20
49,Q2 - 2020,movie,The Main Event,2020-04-10
50,Q4 - 2015,movie,The Ridiculous 6,2015-12-11
51,Q2 - 2020,movie,Earth and Blood,2020-04-17
52,Q3 - 2020,movie,Fearless,2020-08-14
53,Q4 - 2019,movie,Holiday Rush,2019-11-28
54,Q4 - 2020,movie,The Day of the Lord,2020-10-30
55,Q1 - 2020,movie,Airplane Mode,2020-01-23
56,Q3 - 2018,movie,How It Ends,2018-07-13
57,Q4 - 2020,movie,Love Like the Falling Rain,2020-10-15
58,Q3 - 2016,movie,Rebirth,2016-07-15
59,Q1 - 2021,movie,Squared Love,2021-02-11
60,Q4 - 2020,movie,Cadaver,2020-10-22
61,Q1 - 2017,movie,Clinical,2017-01-13
62,Q2 - 2020,movie,Coffee & Kareem,2020-04-03
63,Q2 - 2018,movie,Dude,2018-04-20
64,Q1 - 2021,movie,Geez & Ann,2021-02-25
65,Q3 - 2020,movie,The Larva Island Movie,2020-07-23
66,Q3 - 2017,movie,#REALITYHIGH,2017-09-08
67,Q3 - 2019,movie,American Factory: A Conversation with the Obamas ,2019-08-21
68,Q3 - 2020,movie,Desperados,2020-07-03
69,Q4 - 2020,movie,Dolly Parton's Christmas on the Square,2020-11-22
70,Q3 - 2018,movie,Father of the Year,2018-07-20
71,Q1 - 2019,movie,Firebrand,2019-02-22
72,Q2 - 2021,movie,Ghost Lab,2021-05-26
73,Q1 - 2017,movie,Girlfriend's Day,2017-02-14
74,Q2 - 2017,movie,Handsome: A Netflix Mystery Movie,2017-05-05
75,Q4 - 2020,movie,Hubie Halloween,2020-10-07
76,Q2 - 2018,movie,Ibiza,2018-05-25
77,Q2 - 2019,movie,Rim of the World,2019-05-24
78,Q2 - 2017,movie,Sandy Wexler,2017-04-14
79,Q2 - 2019,movie,See You Yesterday,2019-05-17
80,Q2 - 2019,movie,Still Laugh-In: The Stars Celebrate,2019-05-14
81,Q1 - 2021,movie,"Strip Down, Rise Up",2021-02-05
82,Q3 - 2019,movie,Tall Girl,2019-09-13
83,Q4 - 2020,movie,The Beast,2020-11-27
84,Q2 - 2018,movie,The Week Of,2018-04-27
85,Q4 - 2018,movie,A Christmas Prince: The Royal Wedding,2018-11-30
86,Q3 - 2019,movie,Back to School,2019-08-30
87,Q2 - 2020,movie,Dangerous Lies,2020-04-30
88,Q3 - 2020,movie,Gunjan Saxena: The Kargil Girl,2020-08-12
89,Q2 - 2020,movie,Intuition,2020-05-28
90,Q3 - 2018,movie,The Most Assassinated Woman in the World,2018-09-07
