quarter_id,area_name,revenue,rev_quarterly_change,subscribers,sub_quarterly_change
Q1 - 2018,Latin America,540182000,0,21260000,0
Q2 - 2018,Latin America,568071000,27889000,22795000,1535000
Q3 - 2018,Latin America,562307000,-5764000,24115000,1320000
Q4 - 2018,Latin America,567137000,4830000,26077000,1962000
Q1 - 2019,Latin America,630472000,63335000,27547000,1470000
Q2 - 2019,Latin America,677136000,46664000,27890000,343000
Q3 - 2019,Latin America,741434000,64298000,29380000,1490000
Q4 - 2019,Latin America,746392000,4958000,31417000,2037000
Q1 - 2020,Latin America,793453000,47061000,34318000,2901000
Q2 - 2020,Latin America,785368000,-8085000,36068000,1750000
