quarter_id,area_name,revenue,rev_quarterly_change,subscribers,sub_quarterly_change
Q1 - 2018,United States and Canada,1976157000,0,60909000,0
Q2 - 2018,United States and Canada,2049546000,73389000,61870000,961000
Q3 - 2018,United States and Canada,2094850000,45304000,63010000,1140000
Q4 - 2018,United States and Canada,2160979000,66129000,64757000,1747000
Q1 - 2019,United States and Canada,2256851000,95872000,66633000,1876000
Q2 - 2019,United States and Canada,2501199000,244348000,66501000,-132000
Q3 - 2019,United States and Canada,2621250000,120051000,67114000,613000
Q4 - 2019,United States and Canada,2671908000,50658000,67662000,548000
Q1 - 2020,United States and Canada,2702776000,30868000,69969000,2307000
Q2 - 2020,United States and Canada,2839670000,136894000,72904000,2935000
