media_id,category_id,genre
585,show,Science Fiction Horror
586,show,Historical Drama
587,show,Crime Drama
588,show,Science Fiction
589,show,Crime Drama
590,show,Superhero Action
591,show,Zombie Drama
592,show,Science Fiction Drama
593,show,Police Procedural Anthology Series
594,show,Superhero Science Fiction Drama
595,show,Romantic Drama
596,show,Fantasy Drama
597,show,Horror Teen Drama
598,show,Fantasy
599,show,Coming Of Age Drama
600,show,Romance Drama
601,show,Teen Drama
602,show,Anthology Series
603,show,Fantasy
604,show,Fantasy
605,show,Detective Drama
606,show,Drama
607,show,Horror
608,show,Anthology Series
609,show,Teen Drama
610,show,Drama
611,show,Romance
612,show,Biopic
613,show,Teen Drama
614,show,Romance
615,show,Teen Drama Fantasy
616,show,Comedy Drama
617,show,Comedy
618,show,Satire Drama
619,show,Coming Of Age Comedy
620,show,Coming Of Age Comedy
621,show,Comedy
622,show,Comedy Drama
623,show,Comedy
624,show,Comedy
625,show,Comedy
626,show,Sketch Comedy
627,show,Dark Comedy
628,show,Black Comedy Drama
629,show,Comedy
630,show,Comedy
631,show,Comedy
632,show,Sitcom
633,show,Comedy
634,show,Comedy Drama
635,show,Sketch Comedy
636,show,Comedy
637,show,Sitcom
638,show,Comedy
639,show,Comedy
640,show,Dramedy
641,show,Comedy
642,show,Musical Comedy
643,show,Comedy
644,show,Comedy
645,show,Comedy Drama
646,show,Comedy
647,show,Comedy
648,show,Sitcom
649,show,Coming Of Age Comedy
650,show,Medieval Fantasy Comedy
651,show,Comedy
652,show,Anthology
653,show,Mockumentary
654,show,Science Fantasy Dark Comedy
655,show,War Drama
656,show,Dark Fantasy
657,show,Suspense
658,show,Workplace Comedy
659,show,Science Fiction
660,show,Science Fiction
661,show,Children'S Series
662,show,Science Fiction
663,show,Science Fiction
664,show,Disaster
665,show,Science Fiction
666,show,Dark Fantasy Adventure
667,show,Fantasy Action
668,show,Science Fiction
669,show,Romantic Comedy
670,show,Comedy
671,show,Supernatural Drama
672,show,Supernatural Drama
673,show,Science Fiction
674,show,Drama
675,show,Dark Comedy
676,show,Thriller
677,show,Comedy Drama
678,show,Historical Drama
679,show,Comedy
680,show,Police Procedural
681,show,Romantic Comedy
682,show,Crime Drama
683,show,Comedy
684,show,Thriller
685,show,Drama
686,show,Romantic Comedy
687,show,Comedy
688,show,Historical Drama
689,show,Teen Drama
690,show,Supernatural Drama
691,show,Period Drama Comedy
692,show,Drama
693,show,Horror
694,show,Fantasy
695,show,Period Horror Thriller
696,show,Drama Anthology Series
697,show,Romantic Comedy
698,show,Teen Crime Drama
699,show,Fantasy Drama
700,show,Horror
701,show,Comedy Drama
702,show,Fantasy Superhero Drama
703,show,Horror Anthology
704,show,Period Drama
705,show,Drama
706,show,Thriller
707,show,Zombie Horror
708,show,Thriller
709,show,Crime Drama
710,show,Crime Teen Drama
711,show,Horror Fantasy Thriller
712,show,Supernatural Drama
713,show,Family Drama
714,show,Thriller
715,show,Superhero Comedy
716,show,Sports Crime Drama
717,show,Comedy Drama
718,show,Comedy
719,show,Dramedy
720,show,Comedy
721,show,Teen Drama
722,show,Crime Anthology Series
723,show,Thriller
724,show,Crime Drama
725,show,Drama
726,show,Thriller
727,show,Drama
728,show,Comedy
729,show,Supernatural Drama
730,show,Teen Drama
731,show,Drama
732,show,Thriller
733,show,Thriller
734,show,Romantic Comedy
735,show,Supernatural Drama
736,show,Anthology Series
737,show,Thriller
738,show,Travel Documentary
739,show,Travel Documentary
740,show,Documentary
741,show,Travel Documentary
742,show,Docu Series
743,show,Sport
744,show,Sport
745,show,Culinary Art
746,show,Culinary Art
747,show,Docu Series
748,show,Docu Series
749,show,Nature Documentary
750,show,Docu Series
751,show,Docu Series
752,show,Docu Series
753,show,Docu Series
754,show,Docu Series
755,show,Docu Series
756,show,Docu Series
757,show,Docu Series
758,show,Docu Series
759,show,Docu Series
760,show,Docu Series
761,show,Nature Documentary
762,show,Docu Series
763,show,Culinary Art
764,show,Making Of
765,show,Docu Series
766,show,Docu Series
767,show,Docu Series
768,show,Docu Series
769,show,Docu Series
770,show,Docu Series
771,show,Docu Series
772,show,Docu Series
773,show,Coming Of Age Documentary
774,show,Docu Series
775,show,True Crime
776,show,Docu Series
777,show,Docu Series
778,show,Docu Series
779,show,Docu Series
780,show,Docu Series
781,show,Docu Series
782,show,Docu Series
783,show,Docu Series
784,show,Docu Series
785,show,Docu Series
786,show,Docu Series
787,show,Docu Series
788,show,Docu Series
789,show,Docu Series
790,show,True Crime
791,show,Docu Series
792,show,Political Drama
793,show,Horror Thriller
794,show,Comedy Drama
795,show,Historical Drama
796,show,Thriller
797,show,Superhero Fiction Crime Drama Legal Drama
798,show,Science Fiction
799,show,Crime Drama
800,show,Superhero Fiction Neo Noir Psychological Thriller
801,show,Musical Drama
802,show,Superhero Fiction Neo Blaxploitation Neo Western
803,show,Mystery
804,show,Black Comedy Mystery
805,show,Superhero Fiction Martial Arts
806,show,Teen Drama Mystery
807,show,Teen Drama
808,show,Psychological Thriller
809,show,Crime Drama
810,show,Science Fiction Teen Drama
811,show,Superhero Fiction Crime Drama Conspiracy Thriller
812,show,Science Fiction
813,show,Crime Drama
814,show,Drama
815,show,Supernatural Fiction
816,show,Supernatural Coming Of Age Horror
817,show,Supernatural Crime Drama
818,show,Supernatural Horror Drama
819,show,Thriller
820,show,Teen Psychological Thriller
821,show,Mystery Drama
822,show,Coming Of Age Drama
823,show,Supernatural Martial Arts Drama
824,show,Fantasy
825,show,Anthology Series
826,show,Science Fiction Horror Drama
827,show,Musical Drama
828,show,Thriller
829,show,Drama
830,show,Horror
831,show,Crime Drama
832,show,Drama
833,show,Science Fiction
834,show,Sitcom
835,show,Comedy
836,show,Comedy
837,show,Sketch Comedy
838,show,Romantic Comedy
839,show,Sitcom
840,show,Comedy
841,show,Sketch Comedy
842,show,Sitcom
843,show,Comedy
844,show,Romantic Comedy Anthology
845,show,Comedy
846,show,Mockumentary
847,show,Sitcom
848,show,Comedy Horror
849,show,Comic Science Fiction
850,show,Comedy
851,show,Comedy
852,show,Comedy
853,show,Comedy
854,show,Mockumentary
855,show,Comedy Drama
856,show,Mockumentary
857,show,Coming Of Age Comedy
858,show,Sitcom
859,show,Comedy
