title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
The Woods,2020,Polish TV Programmes,"Grzegorz Damięcki,Agnieszka Grochowska,Hubert Miłkowski",1910645,tv series,year and actor match,6.6,2962
My Country: The New Age,2019,Korean Programmes,"Yang Se-Jong,Woo Do‑hwan,Kim Seol-hyun",10850888,tv series,year and actor match,8.4,884
An Easy Girl,2019,International Films,"Mina Farid,Zahia Dehar,Benoît Magimel",9632590,movie,year and actor match,5.5,1496
The Week Of,2018,Comedies,"Adam Sandler,Chris Rock,Steve Buscemi",6821012,movie,year and actor match,5.1,17594
Explained,2018,Social & Cultural Documentaries,,8005374,tv series,year match,8.1,6064
QB1: Beyond the Lights,2017,Sports & Fitness,"Jake Fromm,Tayvon Bowers,Tate Martell",5771332,tv series,year and actor match,7.8,664
Marvel's Jessica Jones,2015,Action & Adventure Programmes,"Krysten Ritter,David Tennant,Rachael Taylor",2357547,tv series,year and actor match,7.9,188486
Mortel,2019,French TV Programmes,"Carl Malapa,Nemo Schiffman,Manon Bresch",8403570,tv series,year and actor match,6.5,702
Battlefish,2018,Action & Adventure Programmes,,8893566,tv series,year match,7.2,300
Blown Away,2019,Canadian TV Programmes,,9908860,tv series,year match,6.9,1383
Criminal: Spain,2019,Mystery Programmes,"Emma Suárez,Jorge Bosch,Álvaro Cervantes",10986050,tv series,year and actor match,6.9,2497
Thieves of the Wood,2018,International Programmes,"Matteo Simoni,Tom Van Dyck,Stef Aerts",5766086,tv series,year and actor match,6.7,1411
Locked Up,2015,LGBTQ TV Programmes,"Najwa Nimri,Maggie Civantos,Itziar Castro",4524056,tv series,year and actor match,8.3,13868
Murder Mystery,2019,Mysteries,"Adam Sandler,Jennifer Aniston,Luke Evans",1618434,movie,year and actor match,6,94003
Sextuplets,2019,Comedies,"Marlon Wayans,Bresha Webb,Michael Ian Black",8976710,movie,year and actor match,4.4,6782
Salt Fat Acid Heat,2018,Food & Travel TV,Samin Nosrat,8772088,tv series,year and actor match,7.7,1614
She,2020,International Programmes,"Aaditi Pohankar,Vijay Varma,Vishwas Kini",11905720,tv series,year and actor match,6.5,2283
Welcome to the Family,2018,Comedy Programmes,"Melani Olivares,Iván Massagué,Yolanda Ramos",7490342,tv series,year and actor match,6.6,296
Criminal: Germany,2019,Mystery Programmes,"Eva Meckbach,Sylvester Groth,Florence Kasumba",10986056,tv series,year and actor match,7.7,3097
Erased,2017,Mystery Programmes,"Yuki Furukawa,Mio Yuki,Jin Shirasu",7573686,tv series,year and actor match,7.9,2622
