Title,Genre,Premiere,No_of_Seasons,No_of_Episodes
Stranger Things,Science Fiction Horror,15-Jul-16,3,25
The Crown,Historical Drama,4-Nov-16,4,40
Ozark,Crime Drama,21-Jul-17,3,30
Lost in Space,Science Fiction,13-Apr-18,2,20
Narcos: Mexico,Crime Drama,16-Nov-18,2,20
The Umbrella Academy,Superhero Action,15-Feb-19,2,20
Black Summer,Zombie Drama,11-Apr-19,1,8
Another Life,Science Fiction Drama,25-Jul-19,1,10
Criminal: UK,Police Procedural Anthology Series,20-Sep-19,2,7
Raising Dion,Superhero Science Fiction Drama,4-Oct-19,1,9
Virgin River,Romantic Drama,6-Dec-19,2,20
The Witcher,Fantasy Drama,20-Dec-19,1,8
Locke & Key,Horror Teen Drama,7-Feb-20,1,10
The Letter for the King,Fantasy,20-Mar-20,1,6
Outer Banks,Coming Of Age Drama,15-Apr-20,1,10
Sweet Magnolias,Romance Drama,19-May-20,1,10
Blood & Water,Teen Drama,20-May-20,1,6
Homemade,Anthology Series,30-Jun-20,1,17
Warrior Nun,Fantasy,2-Jul-20,1,10
Cursed,Fantasy,17-Jul-20,1,10
Young Wallander,Detective Drama,3-Sep-20,1,6
Ratched,Drama,18-Sep-20,1,8
The Haunting of Bly Manor,Horror,9-Oct-20,9,unknown
Social Distance,Anthology Series,15-Oct-20,1,8
Grand Army,Teen Drama,16-Oct-20,1,9
The Queen's Gambit,Drama,23-Oct-20,7,unknown
Dash & Lily,Romance,10-Nov-20,1,8
Selena: The Series,Biopic,4-Dec-20,1,9
Tiny Pretty Things,Teen Drama,14-Dec-20,1,10
Bridgerton,Romance,25-Dec-20,1,8
Fate: The Winx Saga,Teen Drama Fantasy,22-Jan-21,1,6
Grace and Frankie,Comedy Drama,8-May-15,6,78
Master of None,Comedy,6-Nov-15,2,20
Dear White People,Satire Drama,28-Apr-17,3,30
Atypical,Coming Of Age Comedy,11-Aug-17,3,28
On My Block,Coming Of Age Comedy,16-Mar-18,3,28
The Kominsky Method,Comedy,16-Nov-18,2,16
Sex Education,Comedy Drama,11-Jan-19,2,16
Russian Doll,Comedy,1-Feb-19,1,8
After Life,Comedy,8-Mar-19,2,12
Special,Comedy,12-Apr-19,1,8
I Think You Should Leave with Tim Robinson,Sketch Comedy,23-Apr-19,1,6
Bonding,Dark Comedy,24-Apr-19,2,15
Dead to Me,Black Comedy Drama,3-May-19,2,20
Malibu Rescue: The Series,Comedy,3-Jun-19,1,8
Mr. Iglesias,Comedy,21-Jun-19,3,21
Family Reunion,Comedy,10-Jul-19,2,19
Team Kaylie,Sitcom,23-Sep-19,3,20
The Politician,Comedy,27-Sep-19,2,15
Gentefied,Comedy Drama,21-Feb-20,1,10
The Iliza Shlesinger Sketch Show,Sketch Comedy,1-Apr-20,1,6
Brews Brothers,Comedy,10-Apr-20,1,8
#blackAF,Sitcom,17-Apr-20,1,8
Never Have I Ever,Comedy,27-Apr-20,1,10
Space Force,Comedy,29-May-20,1,10
The Baby-Sitters Club,Dramedy,3-Jul-20,1,10
Game On: A Comedy Crossover Event,Comedy,10-Aug-20,1,4
Julie and the Phantoms,Musical Comedy,10-Sep-20,1,9
The Duchess,Comedy,11-Sep-20,1,6
Sneakerheads,Comedy,25-Sep-20,1,6
Emily in Paris,Comedy Drama,2-Oct-20,1,10
Aunty Donna's Big Ol' House of Fun,Comedy,11-Nov-20,1,6
How to Ruin Christmas: The Wedding,Comedy,16-Dec-20,1,3
F Is for Family,Sitcom,18-Dec-15,4,36
Big Mouth,Coming Of Age Comedy,29-Sep-17,4,41
Disenchantment,Medieval Fantasy Comedy,17-Aug-18,3,30
Paradise PD,Comedy,31-Aug-18,2,18
"Love, Death & Robots",Anthology,15-Mar-19,1,18
Trailer Park Boys: The Animated Series,Mockumentary,31-Mar-19,2,20
The Midnight Gospel,Science Fantasy Dark Comedy,20-Apr-20,1,8
The Liberator,War Drama,11-Nov-20,4,unknown
Castlevania,Dark Fantasy,7-Jul-17,3,22
B: The Beginning,Suspense,2-Mar-18,1,12
Aggretsuko,Workplace Comedy,20-Apr-18,3,30
Ultraman,Science Fiction,1-Apr-19,1,13
7SEEDS,Science Fiction,28-Jun-19,2,24
Dino Girl Gauko,Children'S Series,22-Nov-19,2,39
Cagaster of an Insect Cage,Science Fiction,6-Feb-20,1,12
Ghost in the Shell: SAC_2045,Science Fiction,23-Apr-20,1,12
Japan Sinks: 2020,Disaster,9-Jul-20,1,10
Transformers: War for Cybertron Trilogy: Siege,Science Fiction,30-Jul-20,6,unknown
Dragon's Dogma,Dark Fantasy Adventure,17-Sep-20,1,7
Blood of Zeus,Fantasy Action,27-Oct-20,1,8
Transformers: War for Cybertron Trilogy: Earthrise,Science Fiction,30-Dec-20,6,unknown
The Hook Up Plan,Romantic Comedy,7-Dec-18,2,15
Family Business,Comedy,28-Jun-19,2,12
Mortel,Supernatural Drama,21-Nov-19,1,6
Vampires,Supernatural Drama,20-Mar-20,1,6
Into the Night,Science Fiction,1-May-20,1,6
Lupin,Drama,8-Jan-21,1,5
How to Sell Drugs Online (Fast),Dark Comedy,31-May-19,2,12
Biohackers,Thriller,20-Aug-20,1,6
The Last Word,Comedy Drama,17-Sep-20,1,6
Barbarians,Historical Drama,23-Oct-20,1,6
Over Christmas,Comedy,27-Nov-20,3,unknown
Delhi Crime,Police Procedural,22-Mar-19,1,7
Taj Mahal 1989,Romantic Comedy,14-Feb-20,1,7
She,Crime Drama,20-Mar-20,1,7
Hasmukh,Comedy,17-Apr-20,1,10
Betaal,Thriller,24-May-20,1,4
Masaba Masaba,Drama,28-Aug-20,1,6
Mismatched,Romantic Comedy,20-Nov-20,1,6
Bhaag Beanie Bhaag,Comedy,4-Dec-20,1,6
Luna Nera,Historical Drama,31-Jan-20,1,6
Summertime,Teen Drama,29-Apr-20,1,8
Curon,Supernatural Drama,10-Jun-20,1,7
The Naked Director,Period Drama Comedy,8-Aug-19,1,8
Followers,Drama,27-Feb-20,1,9
JU-ON: Origins,Horror,3-Jul-20,1,6
Alice in Borderland,Fantasy,10-Dec-20,1,8
Kingdom,Period Horror Thriller,25-Jan-19,2,12
Persona,Drama Anthology Series,11-Apr-19,1,4
Love Alarm,Romantic Comedy,22-Aug-19,1,8
Extracurricular,Teen Crime Drama,29-Apr-20,1,10
The School Nurse Files,Fantasy Drama,25-Sep-20,1,6
Sweet Home,Horror,18-Dec-20,1,10
Home for Christmas,Comedy Drama,5-Dec-19,2,12
Ragnarok,Fantasy Superhero Drama,31-Jan-20,1,6
Bloodride,Horror Anthology,13-Mar-20,1,6
Girls from Ipanema,Period Drama,22-Mar-19,2,13
Sintonia,Drama,9-Aug-19,1,6
Spectros,Thriller,20-Feb-20,1,7
Reality Z,Zombie Horror,10-Jun-20,1,10
Kissing Game,Thriller,17-Jul-20,1,6
"Good Morning, Verônica",Crime Drama,1-Oct-20,1,8
Awaiting release,Awaiting Release,Awaiting release,,unknown
Elite,Crime Teen Drama,5-Oct-18,3,24
Diablero,Horror Fantasy Thriller,21-Dec-18,2,14
Always a Witch,Supernatural Drama,1-Feb-19,2,18
Monarca,Family Drama,13-Sep-19,2,18
Hache,Thriller,1-Nov-19,1,8
The Neighbor,Superhero Comedy,31-Dec-19,1,10
Puerta 7,Sports Crime Drama,21-Feb-20,1,8
Unstoppable,Comedy Drama,28-Feb-20,1,10
Almost Happy,Comedy,1-May-20,1,10
Valeria,Dramedy,8-May-20,1,8
The Unremarkable Juanquini,Comedy,15-May-20,1,7
Control Z,Teen Drama,22-May-20,1,8
